Date,SPY,QQQ,TLT,GLD,HYG,IWM,EFA,VNQ,LQD,DXY
2018-01-01,0.010088798905722429,0.0007631346509663683,0.0041622067052407,-0.0029222022644369676,-0.013730887753160758,-0.02041570416954127,0.009029543232999,0.029517337151523704,-0.0016662949755550216,-0.006605923738508447
2018-01-02,0.022944226347983286,0.010449848035133399,0.0030398666460115654,0.007510426737167586,0.0036796781426246808,-0.017552029953035175,-0.006890850603890722,0.00034135572894133633,0.001044128903451651,-0.0019124447416141751
2018-01-03,-0.004425821621374156,-0.027089954390488714,-0.005166676707949539,0.008189381414493867,-0.004122760317743035,-0.0056867005644600085,-0.016279800125560084,-0.020127545538103996,-0.002409686908416987,-0.0020154913700811666
2018-01-04,0.017971669387171003,0.0018712894200462182,0.001552513168383327,0.01418557770458826,0.01751062552906499,-0.017470442247464982,0.005336691164547323,0.0067804923900215315,0.0006986541454981339,-0.012858115431016986
2018-01-05,0.007856468444437322,0.014535851254872343,0.005318239651902076,-0.0030842954679736806,-0.0003641288451782944,-0.0105470696063394,0.003962296359790014,0.0158172766818818,0.007931570772466276,-0.0012014101604258271
2018-01-08,0.006584941437339955,0.011199827922053329,0.00192601629247143,0.002019984378202147,-0.004027540863977598,-0.0047467596146044296,0.02243895735606432,0.021019214560895113,-0.0017303720660000795,-0.005329073642108574
2018-01-09,-0.01037387989902895,0.0017663678888486,0.002553589225219798,-0.011853120409613883,0.0010750916105294584,0.0016193930225056575,0.013658314681556519,0.01104130877917905,0.008160007143722819,-0.00038585215919640357
2018-01-10,-0.0034558063982493754,0.0029480953835842334,0.007323119406559507,0.0048852107464888135,-0.010589987632729243,0.0033230310335803015,0.007281462581155165,0.0020407688906852934,-0.00036573001676874415,0.0061082789666935915
2018-01-11,-0.0046846377763387625,-0.012880687255367283,0.001971214927812847,-0.0008366332295361175,-0.0022260259775349327,0.012209544317071804,0.004642210934707382,0.00789826208501502,0.0036255423703781533,0.003044232270050869
2018-01-12,-0.007403063389085673,-0.007222127344062016,-0.00481651906772605,-0.0012556571167842319,-0.010735357346638405,-0.01261171583454938,-0.0036654439707316305,-0.015132979058445283,-0.00998195759030942,0.0022122994793616455
2018-01-15,-0.008532638353482487,0.0039891461552636195,-0.0031027542845792192,-0.00982805114444191,-0.012930278171092375,0.0030570455022234286,-0.005041669048680387,-0.00929975653209014,-0.0022738227324116413,-0.0018442100577082201
2018-01-16,0.00017386733971531907,-0.02411707366403669,-0.005169408910579807,0.002019054084581802,0.00858274455800742,0.018572855489814397,-0.020290404706400398,-0.004720845628344341,0.0021863817310441053,0.007132966860120948
